source,target,link
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:required"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/sub_id","experiment-id:sub_experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/activity","experiment-id:activity_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","cmip6:experiment/id","experiment-id:experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:required"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/sub_id","experiment-id:sub_experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/activity","experiment-id:activity_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","cmip6:experiment/id","experiment-id:experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:required"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/sub_id","experiment-id:sub_experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/activity","experiment-id:activity_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","cmip6:experiment/id","experiment-id:experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:required"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/sub_id","experiment-id:sub_experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/activity","experiment-id:activity_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","cmip6:experiment/id","experiment-id:experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:required"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/sub_id","experiment-id:sub_experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/activity","experiment-id:activity_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","cmip6:experiment/id","experiment-id:experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:required"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/sub_id","experiment-id:sub_experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/activity","experiment-id:activity_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","cmip6:experiment/id","experiment-id:experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:required"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/sub_id","experiment-id:sub_experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/activity","experiment-id:activity_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","cmip6:experiment/id","experiment-id:experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:required"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/sub_id","experiment-id:sub_experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/activity","experiment-id:activity_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","cmip6:experiment/id","experiment-id:experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:required"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/sub_id","experiment-id:sub_experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/activity","experiment-id:activity_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","cmip6:experiment/id","experiment-id:experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:required"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/sub_id","experiment-id:sub_experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/activity","experiment-id:activity_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","cmip6:experiment/id","experiment-id:experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:required"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/sub_id","experiment-id:sub_experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/activity","experiment-id:activity_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","cmip6:experiment/id","experiment-id:experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:required"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/sub_id","experiment-id:sub_experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:additional_allowed"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/source/type","experiment-id:required"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/sub_id","experiment-id:sub_experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/activity","experiment-id:activity_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","cmip6:experiment/id","experiment-id:experiment_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/activity","experiment-id:activity_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/activity","experiment-id:activity_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/activity","experiment-id:activity_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/activity","experiment-id:activity_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/activity","experiment-id:activity_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/activity","experiment-id:activity_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/activity","experiment-id:activity_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/activity","experiment-id:activity_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/activity","experiment-id:activity_id"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/experiment/id","https://github.com/WCRP-CMIP/CMIP6Plus_CVs/blob/main/JSONLD/activity","experiment-id:activity_id"
